Target Name,Funding in USD
"Shanghai Moule Network Technology Co., Ltd.",2900000.0
Windsec,2900000.0
HoxHunt Oy,2897207.0
"Beijing Jiesi Security Technology Co., Ltd.",2880000.0
ReaQta,2757518.0
"CounterFlow AI, Inc.",2700000.0
"Power Fingerprinting, Inc.",2691270.0
ESTsecurity Corp.,2673630.0
Infnis Inc.,2642334.0
GeoLang Holdings Ltd.,2567325.0
"Cigent Technology, Inc.",2502593.0
Dbrain LLC,2500000.0
CryptoNumerics Inc.,2473967.0
Arc-net,2470752.0
CloudSEK Info Security Pvt. Ltd,2468163.0
"405LABS, Inc.",2330000.0
Harvest.ai,2300000.0
Exein S.p.A.,2283626.0
Flatfile Inc.,2240166.0
"Myota, Inc.",2118039.0
Ampliphae Ltd,2104065.0
"@RISK Technologies, Inc.",2000000.0
SECEON Inc.,1850000.0
"IntelliSpyre, Inc.",1632700.0
CyberSmart Ltd.,1579721.0
"Spinbackup, Inc.",1562417.0
Unbotify Ltd.,1500000.0
"Trooly, Inc.",1500000.0
Delve Laboratories inc.,1500000.0
"Cyber Reconnaissance, Inc",1500000.0
Textile,1500000.0
"Beijing Zhitu Yuntian Technology Co., Ltd.",1489869.0
Echosec Systems Ltd.,1482041.0
Cognitive Security s.r.o.,1454651.0
GreyCortex s.r.o.,1300000.0
Dimension,1300000.0
Cyberlytic International Limited,1293761.0
Apvera Pte. Ltd.,1231000.0
"TrustPipe, LLC",1230000.0
Pradeo Security Systems SAS,1214993.0
Sweepatic bvba,1148132.0
Mostly AI Solutions MP GmbH,1129305.0
nymea.io,1121284.0
"Jaal, LLC",1100000.0
"Maxxsure, LLC",1100000.0
Protocol 46 Inc.,1100000.0
RIWI Corp.,1054040.0
Ermes Cyber Security S.R.L.,1018439.0
Cythereal Inc.,1000000.0
Astroscreen Ltd,1000000.0
Sagacito Technologies Private Limited,1000000.0
MaterialsZone LTD.,1000000.0
"IoT Defense, Inc.",1000000.0
Zebi Data India Pvt. Ltd.,999265.0
"ThreatSwitch, Inc.",892999.0
Suavei,888000.0
Alias Robotics,848896.0
Kobalt Security Inc.,745590.0
Brighter AI Technologies GmbH,740656.0
Boxtrap Security,700000.0
"KineticFuse, LLC",700000.0
Graphus,650000.0
"Champion Technology Company, Inc.",540000.0
"Q-Branch Labs, Inc.",500000.0
HYBRID SECURITY,500000.0
TAC Security,500000.0
Hazy Limited,451222.0
EntirID,450000.0
"Zorus, Inc.",405000.0
